Target	POS	Context	Overlap	Sent1	Sent2	Sent3
fusto	same|same|same	diff|diff|diff	false|false|false	Il <b>fusto</b> è la struttura portante delle piante.	I boscaioli tagliarono il <b>tronco</b> in tanti ceppi.	Comprarono un <b>barile</b> di birra per la festa.
fusto	same|same|same	diff|diff|diff	false|false|false	Comprarono un <b>fusto</b> di birra per la festa.	Durante la cena bevettero un intero <b>barile</b> di birra.	I boscaioli tagliarono il <b>tronco</b> in tanti ceppi.
volume	same|same|same	diff|diff|diff	false|true|false	Il <b>volume</b> raccoglie gli scritti dell'autrice.	L'antologia dello scrittore è raccolta in questo <b>libro</b>.	Ha abbassato il <b>volume</b> della televisione.
volume	same|same|same	diff|diff|diff	false|true|false	Il <b>volume</b> delle importazioni è cresciuto.	Secondo gli economisti la <b>quantità</b> delle esportazioni è in calo.	Il <b>volume</b> raccoglie gli scritti dell'autrice.
campione	same|same|same	diff|diff|diff	false|true|false	Preleva un <b>campione</b> di sangue con una siringa.	Il laboratorio analizza l'<b>esemplare</b>.	Il <b>campione</b> saluta i tifosi.
campione	same|same|same	diff|diff|diff	false|true|false	Il <b>campione</b> saluta i tifosi.	I tifosi chiedono un autografo al <b>vincitore</b>.	Preleva un <b>campione</b> di sangue con una siringa.
facoltà	same|same|same	diff|diff|diff	false|true|false	Il sospettato si è avvalso della <b>facoltà</b> di non rispondere.	I magneti hanno la <b>capacità</b> di attrarre il ferro.	Il corso di laurea è organizzato dalla <b>facoltà</b> di lettere.
facoltà	same|same|same	diff|diff|diff	false|true|false	Il corso di laurea è organizzato dalla <b>facoltà</b> di lettere.	Il <b>dipartimento</b> di fisica ha pubblicato gli esiti dell'esame.	Il sospettato si è avvalso della <b>facoltà</b> di non rispondere.
rombo	same|same|same	diff|diff|diff	false|true|false	Prima del temporale si udì un <b>rombo</b> in lontananza.	Il lampo è seguito da un <b>fragore</b> sordo.	L'area del <b>rombo</b> è la metà di quella del rettangolo.
rombo	same|same|same	diff|diff|diff	false|true|false	L'area del <b>rombo</b> è la metà di quella del rettangolo.	La <b>losanga</b> è un poligono di quattro lati.	Prima del temporale si udì un <b>rombo</b> in lontananza.
rigore	same|same|same	diff|diff|diff	false|true|false	L'arbitro fischia il tiro di <b>rigore</b>.	Alla squadra è concesso un <b>tiro di punizione</b>.	Descrisse l'esperimento con <b>rigore</b> scientifico.
rigore	same|same|same	diff|diff|diff	false|true|false	Descrisse l'esperimento con <b>rigore</b> scientifico.	Ogni giorno va in palestra e si allena con <b>disciplina</b>.	L'arbitro fischia il tiro di <b>rigore</b>.
polo	same|same|same	diff|diff|diff	false|true|false	Arrivò indossando una <b>polo</b> a maniche lunghe.	Indossava una <b>maglietta</b> e un paio di jeans.	Fu il primo a raggiungere il <b>polo</b> in solitaria.
polo	same|same|same	diff|diff|diff	false|true|false	Fu il primo a raggiungere il <b>polo</b> in solitaria.	Impiegò anni per raggiungere l'<b>antartide</b> in slitta.	Arrivò indossando una <b>polo</b> a maniche lunghe.
venti	same|same|same	diff|diff|diff	false|true|false	Ci sono <b>venti</b> che portano umidità e afa.	Sono previste forti <b>raffiche</b> di vento.	Sono previste temperature oltre i <b>venti</b> gradi.
venti	same|same|same	diff|diff|diff	false|true|false	Videro un gruppo di <b>venti</b> persone.	Erano un gruppo di <b>due decine</b> di persone.	Ci sono <b>venti</b> che portano umidità e afa.
botte	same|same|same	diff|diff|diff	false|true|false	Era stanca di fare a <b>botte</b> con la vita.	Fu arrestato per <b>percosse</b> e minacce.	Nella <b>botte</b> piccola c'è il vino buono.
botte	same|same|same	diff|diff|diff	false|true|false	Nella <b>botte</b> piccola c'è il vino buono.	Il prezzo di un <b>barile</b> ha raggiunto i 100 dollari.	Era stanca di fare a <b>botte</b> con la vita.
credenza	same|same|same	diff|diff|diff	false|true|false	È una <b>credenza</b> popolare molto diffusa.	È una <b>leggenda</b> appartenente al folclore locale.	La <b>credenza</b> conteneva piatti e posate.
credenza	same|same|same	diff|diff|diff	false|true|false	La <b>credenza</b> conteneva piatti e posate.	Teneva il pane nella <b>dispensa</b> in cucina.	È una <b>credenza</b> popolare molto diffusa.
pesca	same|same|same	diff|diff|diff	false|true|false	I marinai andarono a <b>pesca</b> e non presero niente.	Il <b>pescato</b> venne venduto al mercato ittico.	Aggiunse una <b>pesca</b> matura alla macedonia.
pesca	same|same|same	diff|diff|diff	false|true|false	Aggiunse una <b>pesca</b> matura alla macedonia.	La pesca è un <b>frutto</b> molto delicato.	I marinai andarono a <b>pesca</b> e non presero niente.
borsa	same|same|same	diff|diff|diff	false|true|false	Tirò fuori un libro dalla <b>borsa</b>.	Posò la <b>sacca</b> sul tavolo della cucina.	La <b>borsa</b> registra forti perdite.
borsa	same|same|same	diff|diff|diff	false|true|false	La <b>borsa</b> registra forti perdite.	Il <b>mercato azionario</b> ha riportato rendimenti negativi.	Tirò fuori un libro dalla <b>borsa</b>.
foro	same|same|same	diff|diff|diff	false|true|false	La maglia aveva un grosso <b>foro</b> sul gomito.	Il maglione ha un <b>buco</b> sulla manica.	Ha vinto la causa presso il <b>foro</b> di Milano.
foro	same|same|same	diff|diff|diff	false|true|false	Ha vinto la causa presso il <b>foro</b> di Milano.	È avvocato presso il <b>tribunale</b> di Torino.	La maglia aveva un grosso <b>foro</b> sul gomito.
indice	same|same|same	diff|diff|diff	false|true|false	Il Dow Jones è l'<b>indice</b> che ha perso più punti.	Il <b>paniere dei titoli</b> ha registrato forti perdite.	Si è tagliato l'<b>indice</b> mentre cucinava.
indice	same|same|same	diff|diff|diff	false|true|false	Si è tagliato l'<b>indice</b> mentre cucinava.	Mise l'anello al <b>dito</b> della mano destra.	Il Dow Jones è l'<b>indice</b> che ha perso più punti.
principi	same|same|same	diff|diff|diff	false|true|false	I <b>principi</b> arrivarono nelle loro carrozze.	I <b>reali</b> vivevano nel loro castello.	I <b>principi</b> fondanti della Costituzione sono ancora attuali.
principi	same|same|same	diff|diff|diff	false|true|false	I <b>principi</b> fondanti della Costituzione sono ancora attuali.	L'organizzazione promuove gli <b>ideali</b> di pace e fratellanza.	I <b>principi</b> arrivarono nelle loro carrozze.
quota	same|same|same	diff|diff|diff	false|true|false	Vogliono acquistare la sua <b>quota</b> della società.	La sua <b>parte</b> della società fu ereditata dai figli.	L'aereo scese di <b>quota</b> per l'atterraggio.
quota	same|same|same	diff|diff|diff	false|true|false	L'aereo scese di <b>quota</b> per l'atterraggio.	L'aereo raggiunse l'<b>altitudine</b> di crociera.	Vogliono acquistare la sua <b>quota</b> della società.
pianta	same|same|same	diff|diff|diff	false|true|false	L'Agave è una <b>pianta</b> grassa.	L'<b>albero</b> in giardino ha molti frutti.	La <b>pianta</b> dell'edificio è caratterizzata da ampi saloni.
pianta	same|same|same	diff|diff|diff	false|true|false	La <b>pianta</b> dell'edificio è caratterizzata da ampi saloni.	La <b>planimetria</b> è il disegno tecnico di un edificio.	L'Agave è una <b>pianta</b> grassa.
cappa	same|same|same	diff|diff|diff	false|true|false	La <b>cappa</b> è un elettrodomestico che elimina i fumi.	Il <b>sistema di aspirazione</b> convoglia i fumi all'esterno.	Una <b>cappa</b> di smog soffocava la città.
cappa	same|same|same	diff|diff|diff	false|true|false	Una <b>cappa</b> di smog soffocava la città.	Una <b>nuvola</b> di smog e polveri sottili avvolge la città.	La <b>cappa</b> è un elettrodomestico che elimina i fumi.
boa	same|same|same	diff|diff|diff	false|true|false	In mare c'era una <b>boa</b> segnaletica rossa.	Un'onda allontanò la barca dal <b>galleggiante</b>.	Il <b>boa</b> è un serpente non velenoso.
boa	same|same|same	diff|diff|diff	false|true|false	Il <b>boa</b> è un serpente non velenoso.	Il <b>serpente</b> si nutre di uccelli e mammiferi.	Un'onda allontanò la barca dalla <b>boa</b>.
zecca	same|same|same	diff|diff|diff	false|true|false	La <b>zecca</b> è un insetto endemico.	Il morso di questo <b>insetto</b> è pericoloso.	La <b>zecca</b> conia monete e banconote.
zecca	same|same|same	diff|diff|diff	false|true|false	La <b>zecca</b> conia monete e banconote.	L'<b>Istituto Poligrafico dello Stato</b> ha emesso una moneta commemorativa.	La <b>zecca</b> è un insetto endemico.
cane	same|same|same	diff|diff|diff	false|true|false	Il <b>cane</b> è un mammifero carnivoro.	Il <b>segugio</b> inseguiva la volpe.	Il <b>cane</b> è armato dal grilletto.
cane	same|same|same	diff|diff|diff	false|true|false	Il <b>cane</b> è una parte della pistola.	Questo <b>componente</b> è armato dal grilletto.	Il <b>cane</b> inseguiva la volpe.
sirena	same|same|same	diff|diff|diff	false|true|false	La <b>sirena</b> è una creatura mitologica.	Nella mitologia questa <b>creatura</b> incantava i marinai.	La <b>sirena</b> dell'allarme fece scappare il ladro.
sirena	same|same|same	diff|diff|diff	false|true|false	La <b>sirena</b> dell'allarme fece scappare il ladro.	L'incendio fece scattare un <b>segnale acustico</b> di allarme.	La <b>sirena</b> è una creatura mitologica.
calcoli	same|same|same	diff|diff|diff	false|false|true	Fece una serie di <b>operazioni</b> per arrivare al risultato.	Dopo una serie di <b>calcoli</b> arrivò al risultato.	I <b>calcoli</b> sono piccoli sassi che si formano nei reni.
calcoli	same|same|same	diff|diff|diff	false|false|true	Fu ricoverato in ospedale per dei <b>problemi</b> ai reni.	I <b>calcoli</b> sono piccoli sassi che si formano nei reni.	Dopo una serie di <b>calcoli</b> arrivò al risultato.
capo	same|same|same	diff|diff|diff	false|false|true	Parlò al suo <b>responsabile</b> per avere un aumento.	Chiese al suo <b>capo</b> di avere un aumento.	Prese un <b>capo</b> dal guardaroba e se lo provò.
capo	same|same|same	diff|diff|diff	false|false|true	Prese un <b>vestito</b> dal guardaroba e se lo provò.	Si provò un <b>capo</b> che aveva nel guardaroba.	Chiese al suo <b>capo</b> di avere un aumento.
calcio	same|same|same	diff|diff|diff	false|false|true	L'arbitro fischia la fine della partita di <b>pallone</b>.	Il <b>calcio</b> è lo sport più seguito dagli italiani.	Il <b>calcio</b> è un minerale fondamentale per la salute del corpo.
re	same|same|same	diff|diff|diff	false|false|true	Il <b>monarca</b> viveva nel suo castello.	Il <b>re</b> regnava con potere assoluto.	Il <b>re</b> è la seconda nota musicale nella scala di do.
zecca	same|same|same	diff|diff|diff	false|false|true	Il morso di questo <b>insetto</b> è pericoloso.	La <b>zecca</b> è un insetto endemico.	La <b>zecca</b> conia monete e banconote.
zecca	same|same|same	diff|diff|diff	false|false|true	L'<b>Istituto Poligrafico dello Stato</b> ha emesso una moneta commemorativa.	La <b>zecca</b> conia monete e banconote.	La <b>zecca</b> è un insetto endemico.
cane	same|same|same	diff|diff|diff	false|false|true	Il <b>segugio</b> inseguiva la volpe.	Il <b>cane</b> è un mammifero carnivoro.	Il <b>cane</b> è armato dal grilletto.
cane	same|same|same	diff|diff|diff	false|false|true	Questo <b>componente</b> è armato dal grilletto.	Il <b>cane</b> è una parte della pistola.	Il <b>cane</b> inseguiva la volpe.
sirena	same|same|same	diff|diff|diff	false|false|true	Nella mitologia questa <b>creatura</b> incantava i marinai.	La <b>sirena</b> è una creatura mitologica.	La <b>sirena</b> dell'allarme fece scappare il ladro.
sirena	same|same|same	diff|diff|diff	false|false|true	L'incendio fece scattare un <b>segnale acustico</b> di allarme.	La <b>sirena</b> dell'allarme fece scappare il ladro.	La <b>sirena</b> è una creatura mitologica.
volume	same|same|same	diff|same|diff	false|false|false	Il <b>volume</b> raccoglie gli scritti dell'autrice.	L'antologia dello scrittore è raccolta in questo <b>libro</b>.	Il <b>sito</b> raccoglie gli scritti dell'autrice.
volume	same|same|same	diff|same|diff	false|false|false	Il <b>volume</b> delle importazioni è cresciuto.	Secondo gli economisti la <b>quantità</b> delle esportazioni è in calo.	Il <b>peso</b> delle importazioni è cresciuto.
campione	same|same|same	diff|same|diff	false|false|false	Preleva un <b>campione</b> di sangue con una siringa.	Il laboratorio analizza l'<b>esemplare</b>.	Il <b>DNA</b> è prelevato con un tampone.
campione	same|same|same	diff|same|diff	false|false|false	Il <b>campione</b> saluta i tifosi.	I tifosi chiedono un autografo al <b>vincitore</b>.	Il <b>primo ministro</b> saluta i tifosi.
facoltà	same|same|same	diff|same|diff	false|false|false	Il sospettato si è avvalso della <b>facoltà</b> di non rispondere.	I magneti hanno la <b>capacità</b> di attrarre il ferro.	Il sospettato si è avvalso della <b>obbligatorietà</b> di non rispondere.
facoltà	same|same|same	diff|same|diff	false|false|false	La <b>facoltà</b> di fisica ha pubblicato gli esiti dell'esame.	Il corso di laurea è organizzato dal <b>dipartimento</b> di lettere.	La <b>professoressa</b> di fisica ha pubblicato gli esiti dell'esame.
rombo	same|same|same	diff|same|diff	false|false|false	Prima del temporale si udì un <b>rombo</b> in lontananza.	Il lampo è seguito da un <b>fragore</b> sordo.	Prima del temporale si udì un <b>silenzio</b> in lontananza.
rombo	same|same|same	diff|same|diff	false|false|false	L'area del <b>rombo</b> è la metà di quella del rettangolo.	Ogni <b>losanga</b> è un parallelogramma.	L'area del <b>pentagono</b> è la metà dell'area del rettangolo.
rigore	same|same|same	diff|same|diff	false|false|false	L'arbitro fischia il tiro di <b>rigore</b>.	Alla squadra è concesso un <b>tiro di punizione</b>.	L'arbitro fischia il <b>motivetto</b>.
rigore	same|same|same	diff|same|diff	false|false|false	Descrisse l'esperimento con <b>rigore</b> scientifico.	Ogni giorno va in palestra e si allena con <b>disciplina</b>.	Organizzò i documenti con <b>furore</b> scientifico.
polo	same|same|same	diff|same|diff	false|false|false	Arrivò indossando una <b>polo</b> a maniche lunghe.	Indossava una <b>maglietta</b> e un paio di jeans.	Arrivò indossando una <b>casacca</b> a maniche lunghe.
polo	same|same|same	diff|same|diff	false|false|false	Fu il primo a raggiungere il <b>polo</b> in solitaria.	Impiegò anni per raggiungere l'<b>antartide</b> in slitta.	Fu il primo a raggiungere il <b>Canada</b> in solitaria.
venti	same|same|same	diff|same|diff	false|false|false	Ci sono <b>venti</b> che portano umidità e afa.	Sono previste forti <b>raffiche</b> di vento.	Ci sono <b>stagioni</b> che portano umidità e afa.
venti	same|same|same	diff|same|diff	false|false|false	Videro un gruppo di <b>venti</b> persone.	Erano un gruppo di <b>due decine</b> di persone.	Videro un gruppo di <b>cinque</b> persone.
botte	same|same|same	diff|same|diff	false|false|false	Era stanca di fare a <b>botte</b> con la vita.	Fu arrestato per <b>percosse</b> e minacce.	Era stanca di fare a <b>gara</b> con la vita.
botte	same|same|same	diff|same|diff	false|false|false	Nella <b>botte</b> piccola c'è il vino buono.	Il prezzo di un <b>barile</b> ha raggiunto i 100 dollari.	Nella <b>cantina</b> piccola c'è il vino buono.
credenza	same|same|same	diff|same|diff	false|false|false	È una <b>credenza</b> popolare molto diffusa.	È una <b>leggenda</b> appartenente al folclore locale.	È una <b>canzone</b> popolare molto diffusa.
credenza	same|same|same	diff|same|diff	false|false|false	La <b>credenza</b> conteneva piatti e posate.	Teneva il pane nella <b>dispensa</b> in cucina.	La <b>lavastoviglie</b> conteneva piatti e posate.
pesca	same|same|same	diff|same|diff	false|false|false	I marinai andarono a <b>pesca</b> e non presero niente.	Il <b>pescato</b> venne venduto al mercato ittico.	I marinai andarono a <b>caccia</b> e non presero niente.
borsa	same|same|same	diff|same|diff	false|false|false	Tirò fuori un libro dalla <b>borsa</b>.	Posò la <b>sacca</b> sul tavolo della cucina.	Tirò fuori un libro dalla <b>libreria</b>.
borsa	same|same|same	diff|same|diff	false|false|false	La <b>borsa</b> registra forti perdite.	Il <b>mercato azionario</b> ha riportato rendimenti negativi.	La <b>società</b> registra forti perdite.
foro	same|same|same	diff|same|diff	false|false|false	La maglia aveva un grosso <b>foro</b> sul gomito.	Il maglione ha un <b>buco</b> sulla manica.	La maglia aveva un grosso <b>logo</b> sul gomito.
foro	same|same|same	diff|same|diff	false|false|false	Ha vinto la causa presso il <b>foro</b> di Milano.	È avvocato presso il <b>tribunale</b> di Torino.	Ha vinto la causa presso il <b>comune</b> di Milano.
principi	same|same|same	diff|same|diff	false|false|false	I <b>principi</b> arrivarono nelle loro carrozze.	I <b>reali</b> vivevano nel loro castello.	I <b>poveri</b> arrivarono nelle loro carrozze.
quota	same|same|same	diff|same|diff	false|false|false	Vogliono acquistare la sua <b>quota</b> della società.	La sua <b>parte</b> della società fu ereditata dai figli.	Vogliono acquistare la sua <b>auto</b> della società.
quota	same|same|same	diff|same|diff	false|false|false	L'aereo scese di <b>quota</b> per l'atterraggio.	L'aereo raggiunse l'<b>altitudine</b> di crociera.	L'aereo scese di <b>colpo</b> per l'atterraggio.
pianta	same|same|same	diff|same|diff	false|false|false	L'Agave è una <b>pianta</b> grassa.	L'<b>albero</b> in giardino ha molti frutti.	L'Agave è una <b>specie</b> grassa.
pianta	same|same|same	diff|same|diff	false|false|false	La <b>pianta</b> dell'edificio è caratterizzata da ampi saloni.	La <b>planimetria</b> è il disegno tecnico di un edificio.	La <b>facciata</b> dell'edificio è caratterizzata da ampi saloni.
cappa	same|same|same	diff|same|diff	false|false|false	La <b>cappa</b> è un elettrodomestico che elimina i fumi.	Il <b>sistema di aspirazione</b> convoglia i fumi all'esterno.	La <b>ventola</b> è un elettrodomestico che elimina i fumi.
cappa	same|same|same	diff|same|diff	false|false|false	Una <b>cappa</b> di smog soffocava la città.	Una <b>nuvola</b> di smog e polveri sottili avvolge la città.	Una <b>tonnellata</b> di smog soffocava la città.
boa	same|same|same	diff|same|diff	false|false|false	In mare c'era una <b>boa</b> segnaletica rossa.	Un'onda allontanò la barca dal <b>galleggiante</b>.	In mare c'era una <b>barca</b> segnaletica rossa.
boa	same|same|same	diff|same|diff	false|false|false	Il <b>boa</b> è un serpente non velenoso.	Il <b>serpente</b> si nutre di uccelli e mammiferi.	Il <b>cane</b> è un serpente non velenoso.
latte	same|same|same	diff|same|diff	false|false|false	Nell'armadio c'erano delle <b>latte</b> di vernice.	I <b>barattoli</b> di vernice erano in cantina.	Nell'armadio c'erano delle <b>scarpe</b> di vernice.
zecca	same|same|same	diff|same|diff	false|false|false	La <b>zecca</b> è un insetto endemico.	Il morso di questo <b>insetto</b> è pericoloso.	La <b>sirena</b> è un insetto endemico.
zecca	same|same|same	diff|same|diff	false|false|false	La <b>zecca</b> conia monete e banconote.	L'<b>Istituto Poligrafico dello Stato</b> ha emesso una moneta commemorativa.	La <b>zanzara</b> conia monete e banconote.
cane	same|same|same	diff|same|diff	false|false|false	Il <b>cane</b> è un mammifero carnivoro.	Il <b>segugio</b> inseguiva la volpe.	Il <b>serpente</b> è un mammifero carnivoro.
sirena	same|same|same	diff|same|diff	false|false|false	La <b>sirena</b> è una creatura mitologica.	Nella mitologia questa <b>creatura</b> incantava i marinai.	La <b>zecca</b> è una creatura mitologica.
sirena	same|same|same	diff|same|diff	false|false|false	La <b>sirena</b> dell'allarme fece scappare il ladro.	L'incendio fece scattare un <b>segnale acustico</b> di allarme.	La <b>luce</b> dell'allarme fece scappare il ladro.
volume	same|same|same	same|same|same	false|false|false	Il <b>volume</b> raccoglie gli scritti dell'autrice.	Il <b>libro</b> raccoglie gli scritti dell'autrice.	Il <b>sito</b> raccoglie gli scritti dell'autrice.
rombo	same|same|same	same|same|same	false|false|false	Prima del temporale si udì un <b>rombo</b> in lontananza.	Prima del temporale si udì un <b>tuono</b> in lontananza.	Prima del temporale si udì un <b>silenzio</b> in lontananza.
rigore	same|same|same	same|same|same	false|false|false	L'arbitro fischia il tiro di <b>rigore</b>.	L'arbitro fischia il <b>tiro di punizione</b>.	L'arbitro fischia il <b>motivetto</b>.
polo	same|same|same	same|same|same	false|false|false	Arrivò indossando una <b>polo</b> a maniche lunghe.	Arrivò indossando una <b>maglia</b> a maniche lunghe.	Arrivò indossando una <b>casacca</b> a maniche lunghe.
botte	same|same|same	same|same|same	false|false|false	Era stanca di fare a <b>botte</b> con la vita.	Era stanca di fare a <b>pugni</b> con la vita.	Era stanca di fare a <b>gara</b> con la vita.
credenza	same|same|same	same|same|same	false|false|false	È una <b>credenza</b> popolare molto diffusa.	È una <b>leggenda</b> popolare molto diffusa.	È una <b>canzone</b> popolare molto diffusa.
borsa	same|same|same	same|same|same	false|false|false	Tirò fuori un libro dalla <b>borsa</b>.	Tirò fuori un libro dalla <b>cartella</b>.	Tirò fuori un libro dalla <b>libreria</b>.
calcoli	same|same|same	same|same|same	false|false|false	Fece una serie di <b>calcoli</b> per arrivare al risultato.	Fece una serie di <b>conti</b> per arrivare al risultato.	Fece una serie di <b>tentativi</b> per arrivare al risultato.
capo	same|same|same	same|same|same	false|false|false	Parlò al suo <b>capo</b> per avere un aumento.	Parlò al suo <b>responsabile</b> per avere un aumento.	Parlò al suo <b>amico</b> per avere un aumento.
capo	same|same|same	same|same|same	false|false|false	Prese un <b>capo</b> dal guardaroba e se lo provò.	Prese un <b>vestito</b> dal guardaroba e se lo provò.	Prese un <b>profumo</b> dal guardaroba e se lo provò.
calcio	same|same|same	same|same|same	false|false|false	L'arbitro fischia la fine della partita di <b>calcio</b>.	L'arbitro fischia la fine della partita di <b>pallone</b>.	L'arbitro fischia la fine della partita di <b>scacchi</b>.
re	same|same|same	same|same|same	false|false|false	Il <b>re</b> viveva nel suo castello.	Il <b>monarca</b> viveva nel suo castello.	Il <b>vampiro</b> viveva nel suo castello.
